text,label
Upgrade to query test but still on old.,billing_issue
Request: dark mode for Android.,feature_request
Would love a Jan button.,feature_request
Request: dark mode for 404.,feature_request
Feature idea: auto-Jan.,feature_request
The app crashes when I try to Android.,bug
Recommended setup for Android.,general_inquiry
Error 67890 when opening 12345.,bug
Cannot login: invalid credentials.,account_problem
Slow performance during iOS.,bug
Two-factor auth broken.,account_problem
What is the price for 500?,general_inquiry
Overcharged by premium on basic.,billing_issue
Please add export to login.,feature_request
UI is broken on 2023-01. Can you fix?,bug
Data not saving properly after $10.,bug
Where is my invoice for users?,billing_issue
Profile pic not updating.,account_problem
Account suspended without reason.,account_problem
Profile pic not updating.,account_problem
Please implement $10 like in competitors.,feature_request
Shortcut keys for old@example.com.,feature_request
Charged twice for dashboard. Refund?,billing_issue
Overcharged by PDF on CSV.,billing_issue
Search returns wrong results for 2023-01.,bug
Privacy policy question.,general_inquiry
Privacy policy question.,general_inquiry
UI is broken on query test. Can you fix?,bug
Data not saving properly after basic.,bug
What is the price for $20?,general_inquiry
Request: dark mode for iOS.,feature_request
Multi-language support for iOS?,feature_request
Subscription not renewing properly.,billing_issue
Verify phone number issue.,account_problem
Overcharged by query test on login.,billing_issue
Where is my invoice for premium?,billing_issue
Add integration with Feb.,feature_request
Feature idea: auto-users.,feature_request
Status of my ticket Jan.,general_inquiry
Two-factor auth broken.,account_problem
Payment not recognized for web.,billing_issue
Can we add support for Slack?,feature_request
Subscription not renewing properly.,billing_issue
Privacy policy question.,general_inquiry
Account suspended without reason.,account_problem
Feature idea: auto-export.,feature_request
Feature idea: auto-12345.,feature_request
Can we add support for 500?,feature_request
Please implement 12345 like in competitors.,feature_request
Charged twice for login. Refund?,billing_issue
UI is broken on 500. Can you fix?,bug
Multi-language support for web?,feature_request
Would love a profile button.,feature_request
Request: dark mode for users.,feature_request
Login fails with error search.,bug
Contact sales for enterprise.,general_inquiry
Delete my account please.,account_problem
Account suspended without reason.,account_problem
Access denied to query test.,account_problem
Login fails with error Feb.,bug
Search returns wrong results for Android.,bug
The app crashes when I try to email.,bug
No receipt after purchase.,billing_issue
Is dashboard available?,general_inquiry
Access denied to 2023-01.,account_problem
App freezes on 67890. Please help.,bug
Cancel subscription failed.,billing_issue
Recommended setup for iOS.,general_inquiry
Account suspended without reason.,account_problem
Verify phone number issue.,account_problem
Recommended setup for 404.,general_inquiry
Android button does nothing.,bug
The app crashes when I try to PDF.,bug
Overcharged by CSV on email.,billing_issue
Status of my ticket Jan.,general_inquiry
Delete my account please.,account_problem
Can we add support for users?,feature_request
Can we add support for CSV?,feature_request
How do I save?,general_inquiry
Google button does nothing.,bug
"Forgot password, reset not working.",account_problem
No receipt after purchase.,billing_issue
Verify phone number issue.,account_problem
How do I dashboard?,general_inquiry
Login fails with error 67890.,bug
Cannot login: invalid credentials.,account_problem
Account suspended without reason.,account_problem
Where is my invoice for export?,billing_issue
Status of my ticket Feb.,general_inquiry
Recommended setup for Feb.,general_inquiry
Data not saving properly after Android.,bug
Change email from search to profile.,account_problem
Subscription not renewing properly.,billing_issue
CSV button does nothing.,bug
Upgrade to web but still on old.,billing_issue
Login fails with error email.,bug
Multi-language support for save?,feature_request
Can we add support for login?,feature_request
Overcharged by query test on login.,billing_issue
Two-factor auth broken.,account_problem
$20 button does nothing.,bug
Profile pic not updating.,account_problem
Privacy policy question.,general_inquiry
Would love a $10 button.,feature_request
Need option to $10 in bulk.,feature_request
Feature idea: auto-query test.,feature_request
Upgrade to PDF but still on old.,billing_issue
Shortcut keys for Feb.,feature_request
Would love a web button.,feature_request
Feature idea: auto-new@example.com.,feature_request
Where to find PDF?,general_inquiry
Delete my account please.,account_problem
Contact sales for enterprise.,general_inquiry
What is the price for save?,general_inquiry
Delete my account please.,account_problem
What is the price for PDF?,general_inquiry
Upgrade to new@example.com but still on old.,billing_issue
Add integration with web.,feature_request
Demo request.,general_inquiry
Feature idea: auto-search.,feature_request
Slow performance during 67890.,bug
Verify phone number issue.,account_problem
App freezes on web. Please help.,bug
Please add export to Slack.,feature_request
Request: dark mode for 12345.,feature_request
Search returns wrong results for basic.,bug
Would love a 404 button.,feature_request
"Forgot password, reset not working.",account_problem
Subscription not renewing properly.,billing_issue
Feedback on login.,general_inquiry
UI is broken on profile. Can you fix?,bug
Contact sales for enterprise.,general_inquiry
Profile pic not updating.,account_problem
Subscription not renewing properly.,billing_issue
Would love a 67890 button.,feature_request
Where to find 2023-01?,general_inquiry
Please add export to save.,feature_request
Access denied to $10.,account_problem
Please add export to premium.,feature_request
Profile pic not updating.,account_problem
Is users available?,general_inquiry
Feedback on premium.,general_inquiry
Data not saving properly after app.,bug
Delete my account please.,account_problem
UI is broken on Android. Can you fix?,bug
Merge accounts Feb and $10.,account_problem
Access denied to 12345.,account_problem
Need option to $20 in bulk.,feature_request
Error 67890 when opening 12345.,bug
Cancel subscription failed.,billing_issue
Cannot login: invalid credentials.,account_problem
Would love a Google button.,feature_request
Can we add support for Feb?,feature_request
Shortcut keys for $20.,feature_request
Slow performance during export.,bug
Where is my invoice for $20?,billing_issue
Please add export to Feb.,feature_request
12345 button does nothing.,bug
Cannot login: invalid credentials.,account_problem
Two-factor auth broken.,account_problem
Contact sales for enterprise.,general_inquiry
Billing error: card declined but charged.,billing_issue
Verify phone number issue.,account_problem
Privacy policy question.,general_inquiry
"Forgot password, reset not working.",account_problem
Request: dark mode for profile.,feature_request
Contact sales for enterprise.,general_inquiry
Request: dark mode for 500.,feature_request
Account suspended without reason.,account_problem
Charged twice for old@example.com. Refund?,billing_issue
CSV button does nothing.,bug
App freezes on $20. Please help.,bug
Payment not recognized for 2023-01.,billing_issue
Error 500 when opening 404.,bug
Slow performance during Slack.,bug
Contact sales for enterprise.,general_inquiry
Privacy policy question.,general_inquiry
Billing error: card declined but charged.,billing_issue
Profile pic not updating.,account_problem
Contact sales for enterprise.,general_inquiry
Account suspended without reason.,account_problem
Data not saving properly after Google.,bug
"Forgot password, reset not working.",account_problem
Upgrade to Jan but still on old.,billing_issue
Please add export to query test.,feature_request
Charged twice for new@example.com. Refund?,billing_issue
Change email from 500 to users.,account_problem
Search returns wrong results for Google.,bug
Cancel subscription failed.,billing_issue
Verify phone number issue.,account_problem
Please implement CSV like in competitors.,feature_request
Shortcut keys for login.,feature_request
Google button does nothing.,bug
Need option to Feb in bulk.,feature_request
Verify phone number issue.,account_problem
Where to find search?,general_inquiry
Privacy policy question.,general_inquiry
Contact sales for enterprise.,general_inquiry
Can we add support for dashboard?,feature_request
Overcharged by Jan on Feb.,billing_issue
The app crashes when I try to old@example.com.,bug
UI is broken on 404. Can you fix?,bug
Would love a Feb button.,feature_request
Access denied to CSV.,account_problem
The app crashes when I try to iOS.,bug
Contact sales for enterprise.,general_inquiry
Feature idea: auto-search.,feature_request
Account suspended without reason.,account_problem
Cancel subscription failed.,billing_issue
Recommended setup for basic.,general_inquiry
UI is broken on $20. Can you fix?,bug
Images not loading in app.,bug
Where to find profile?,general_inquiry
Merge accounts profile and dashboard.,account_problem
Slack button does nothing.,bug
Account suspended without reason.,account_problem
12345 button does nothing.,bug
Login fails with error login.,bug
Privacy policy question.,general_inquiry
Cancel subscription failed.,billing_issue
Change email from profile to dashboard.,account_problem
Images not loading in export.,bug
Payment not recognized for 12345.,billing_issue
Is 12345 available?,general_inquiry
Cancel subscription failed.,billing_issue
Billing error: card declined but charged.,billing_issue
Images not loading in Jan.,bug
Cannot login: invalid credentials.,account_problem
Data not saving properly after premium.,bug
Login fails with error users.,bug
Shortcut keys for save.,feature_request
Charged twice for Jan. Refund?,billing_issue
Login fails with error Feb.,bug
Feedback on 500.,general_inquiry
Cannot login: invalid credentials.,account_problem
Merge accounts PDF and CSV.,account_problem
Please add export to search.,feature_request
Search returns wrong results for dashboard.,bug
No receipt after purchase.,billing_issue
Cannot login: invalid credentials.,account_problem
Need option to PDF in bulk.,feature_request
Demo request.,general_inquiry
Privacy policy question.,general_inquiry
Please add export to new@example.com.,feature_request
Cannot login: invalid credentials.,account_problem
Access denied to premium.,account_problem
UI is broken on old@example.com. Can you fix?,bug
Verify phone number issue.,account_problem
Delete my account please.,account_problem
The app crashes when I try to 12345.,bug
Can we add support for 404?,feature_request
App freezes on dashboard. Please help.,bug
Need option to CSV in bulk.,feature_request
Is $10 available?,general_inquiry
Charged twice for 404. Refund?,billing_issue
Delete my account please.,account_problem
Can we add support for 67890?,feature_request
How do I old@example.com?,general_inquiry
Subscription not renewing properly.,billing_issue
Is $10 available?,general_inquiry
Login fails with error iOS.,bug
email button does nothing.,bug
Demo request.,general_inquiry
Feedback on CSV.,general_inquiry
Data not saving properly after Slack.,bug
"Forgot password, reset not working.",account_problem
Search returns wrong results for old@example.com.,bug
Demo request.,general_inquiry
Verify phone number issue.,account_problem
Payment not recognized for PDF.,billing_issue
Delete my account please.,account_problem
Would love a Android button.,feature_request
users button does nothing.,bug
Multi-language support for old@example.com?,feature_request
Login fails with error 12345.,bug
Feature idea: auto-Feb.,feature_request
The app crashes when I try to CSV.,bug
No receipt after purchase.,billing_issue
Overcharged by old@example.com on new@example.com.,billing_issue
Cancel subscription failed.,billing_issue
App freezes on dashboard. Please help.,bug
Contact sales for enterprise.,general_inquiry
Merge accounts basic and query test.,account_problem
Profile pic not updating.,account_problem
Login fails with error dashboard.,bug
"Forgot password, reset not working.",account_problem
Cancel subscription failed.,billing_issue
How do I export?,general_inquiry
The app crashes when I try to email.,bug
Status of my ticket export.,general_inquiry
Request: dark mode for basic.,feature_request
Overcharged by 500 on users.,billing_issue
PDF button does nothing.,bug
The app crashes when I try to premium.,bug
Login fails with error 2023-01.,bug
Demo request.,general_inquiry
"Forgot password, reset not working.",account_problem
Feature idea: auto-2023-01.,feature_request
No receipt after purchase.,billing_issue
Please implement 2023-01 like in competitors.,feature_request
Upgrade to basic but still on old.,billing_issue
Upgrade to Feb but still on old.,billing_issue
Feature idea: auto-premium.,feature_request
Verify phone number issue.,account_problem
Delete my account please.,account_problem
Recommended setup for query test.,general_inquiry
Images not loading in web.,bug
Slow performance during basic.,bug
Login fails with error email.,bug
Change email from $20 to 2023-01.,account_problem
Demo request.,general_inquiry
Cancel subscription failed.,billing_issue
What is the price for email?,general_inquiry
Cannot login: invalid credentials.,account_problem
Please implement old@example.com like in competitors.,feature_request
Dispute charge of export.,billing_issue
Subscription not renewing properly.,billing_issue
What is the price for dashboard?,general_inquiry
Privacy policy question.,general_inquiry
Where is my invoice for Google?,billing_issue
Search returns wrong results for iOS.,bug
UI is broken on Jan. Can you fix?,bug
The app crashes when I try to save.,bug
Images not loading in 12345.,bug
Cannot login: invalid credentials.,account_problem
Privacy policy question.,general_inquiry
Billing error: card declined but charged.,billing_issue
"Forgot password, reset not working.",account_problem
Verify phone number issue.,account_problem
Search returns wrong results for 404.,bug
No receipt after purchase.,billing_issue
Data not saving properly after new@example.com.,bug
Search returns wrong results for Jan.,bug
Request: dark mode for web.,feature_request
"Forgot password, reset not working.",account_problem
Account suspended without reason.,account_problem
Feedback on Slack.,general_inquiry
Cannot login: invalid credentials.,account_problem
Login fails with error users.,bug
Add integration with 500.,feature_request
Can we add support for basic?,feature_request
Where is my invoice for profile?,billing_issue
Recommended setup for email.,general_inquiry
Feature idea: auto-premium.,feature_request
Overcharged by login on save.,billing_issue
Is Google available?,general_inquiry
Add integration with Google.,feature_request
Account suspended without reason.,account_problem
The app crashes when I try to save.,bug
Contact sales for enterprise.,general_inquiry
Profile pic not updating.,account_problem
Where is my invoice for Slack?,billing_issue
UI is broken on save. Can you fix?,bug
Feedback on Android.,general_inquiry
Subscription not renewing properly.,billing_issue
Cannot login: invalid credentials.,account_problem
Please add export to iOS.,feature_request
Overcharged by save on iOS.,billing_issue
Privacy policy question.,general_inquiry
App freezes on app. Please help.,bug
UI is broken on PDF. Can you fix?,bug
Upgrade to 12345 but still on old.,billing_issue
Privacy policy question.,general_inquiry
The app crashes when I try to CSV.,bug
Cannot login: invalid credentials.,account_problem
Status of my ticket premium.,general_inquiry
Images not loading in iOS.,bug
Shortcut keys for web.,feature_request
Login fails with error save.,bug
Contact sales for enterprise.,general_inquiry
No receipt after purchase.,billing_issue
Two-factor auth broken.,account_problem
Verify phone number issue.,account_problem
Demo request.,general_inquiry
Feedback on $20.,general_inquiry
Images not loading in app.,bug
What is the price for new@example.com?,general_inquiry
Images not loading in new@example.com.,bug
Charged twice for email. Refund?,billing_issue
Merge accounts iOS and Android.,account_problem
Access denied to basic.,account_problem
Login fails with error Slack.,bug
Cannot login: invalid credentials.,account_problem
Status of my ticket 67890.,general_inquiry
Login fails with error app.,bug
UI is broken on 2023-01. Can you fix?,bug
UI is broken on iOS. Can you fix?,bug
Please add export to save.,feature_request
What is the price for export?,general_inquiry
App freezes on dashboard. Please help.,bug
Upgrade to Feb but still on old.,billing_issue
Feedback on query test.,general_inquiry
Status of my ticket new@example.com.,general_inquiry
Billing error: card declined but charged.,billing_issue
Demo request.,general_inquiry
The app crashes when I try to dashboard.,bug
Overcharged by $10 on $20.,billing_issue
Multi-language support for Slack?,feature_request
Feature idea: auto-iOS.,feature_request
Slow performance during iOS.,bug
Feature idea: auto-Google.,feature_request
Slow performance during profile.,bug
Please add export to 12345.,feature_request
Shortcut keys for profile.,feature_request
Login fails with error Jan.,bug
Account suspended without reason.,account_problem
Profile pic not updating.,account_problem
Please implement Google like in competitors.,feature_request
Contact sales for enterprise.,general_inquiry
Upgrade to email but still on old.,billing_issue
App freezes on web. Please help.,bug
Charged twice for profile. Refund?,billing_issue
Images not loading in query test.,bug
Where is my invoice for save?,billing_issue
Is save available?,general_inquiry
The app crashes when I try to profile.,bug
Payment not recognized for app.,billing_issue
Cannot login: invalid credentials.,account_problem
Two-factor auth broken.,account_problem
No receipt after purchase.,billing_issue
Need option to iOS in bulk.,feature_request
Multi-language support for 500?,feature_request
Slow performance during query test.,bug
Two-factor auth broken.,account_problem
Error Feb when opening Jan.,bug
Error Feb when opening Jan.,bug
Charged twice for 404. Refund?,billing_issue
Access denied to $20.,account_problem
App freezes on email. Please help.,bug
Request: dark mode for query test.,feature_request
Request: dark mode for users.,feature_request
The app crashes when I try to Jan.,bug
UI is broken on users. Can you fix?,bug
Subscription not renewing properly.,billing_issue
Profile pic not updating.,account_problem
Account suspended without reason.,account_problem
Charged twice for profile. Refund?,billing_issue
Login fails with error premium.,bug
Multi-language support for profile?,feature_request
search button does nothing.,bug
Demo request.,general_inquiry
Need option to save in bulk.,feature_request
Delete my account please.,account_problem
Privacy policy question.,general_inquiry
Please add export to PDF.,feature_request
Status of my ticket Feb.,general_inquiry
Can we add support for dashboard?,feature_request
"Forgot password, reset not working.",account_problem
Overcharged by 67890 on premium.,billing_issue
Billing error: card declined but charged.,billing_issue
Charged twice for users. Refund?,billing_issue
How do I Jan?,general_inquiry
Is CSV available?,general_inquiry
Privacy policy question.,general_inquiry
Request: dark mode for 12345.,feature_request
Need option to Slack in bulk.,feature_request
How do I users?,general_inquiry
Verify phone number issue.,account_problem
Account suspended without reason.,account_problem
Search returns wrong results for export.,bug
Verify phone number issue.,account_problem
Charged twice for save. Refund?,billing_issue
Multi-language support for new@example.com?,feature_request
Login fails with error login.,bug
Contact sales for enterprise.,general_inquiry
Images not loading in search.,bug
Where is my invoice for Slack?,billing_issue
Two-factor auth broken.,account_problem
Demo request.,general_inquiry
Data not saving properly after email.,bug
Can we add support for iOS?,feature_request
Cancel subscription failed.,billing_issue
Can we add support for 500?,feature_request
Where to find 500?,general_inquiry
Cannot login: invalid credentials.,account_problem
Feature idea: auto-$20.,feature_request
Access denied to 67890.,account_problem
Slow performance during CSV.,bug
Contact sales for enterprise.,general_inquiry
Images not loading in $10.,bug
Upgrade to $10 but still on old.,billing_issue
Change email from $20 to 2023-01.,account_problem
Verify phone number issue.,account_problem
Feature idea: auto-dashboard.,feature_request
Delete my account please.,account_problem
Billing error: card declined but charged.,billing_issue
Merge accounts 12345 and 67890.,account_problem
Contact sales for enterprise.,general_inquiry
Change email from PDF to CSV.,account_problem
Two-factor auth broken.,account_problem
App freezes on 2023-01. Please help.,bug
Can we add support for iOS?,feature_request
Cancel subscription failed.,billing_issue
Verify phone number issue.,account_problem
Profile pic not updating.,account_problem
"Forgot password, reset not working.",account_problem
Privacy policy question.,general_inquiry
Privacy policy question.,general_inquiry
Access denied to Google.,account_problem
Feature idea: auto-basic.,feature_request
Data not saving properly after new@example.com.,bug
UI is broken on old@example.com. Can you fix?,bug
Need option to export in bulk.,feature_request
Add integration with PDF.,feature_request
Privacy policy question.,general_inquiry
Billing error: card declined but charged.,billing_issue
Contact sales for enterprise.,general_inquiry
Recommended setup for CSV.,general_inquiry
Dispute charge of PDF.,billing_issue
Account suspended without reason.,account_problem
Cancel subscription failed.,billing_issue
Please implement login like in competitors.,feature_request
Request: dark mode for email.,feature_request
"Forgot password, reset not working.",account_problem
The app crashes when I try to Feb.,bug
Profile pic not updating.,account_problem
Subscription not renewing properly.,billing_issue
Search returns wrong results for Google.,bug
Cancel subscription failed.,billing_issue
Status of my ticket save.,general_inquiry
Add integration with PDF.,feature_request
Two-factor auth broken.,account_problem
Search returns wrong results for basic.,bug
Billing error: card declined but charged.,billing_issue
Login fails with error new@example.com.,bug
Verify phone number issue.,account_problem
Is $10 available?,general_inquiry
What is the price for save?,general_inquiry
Multi-language support for old@example.com?,feature_request
Access denied to export.,account_problem
Charged twice for Feb. Refund?,billing_issue
Demo request.,general_inquiry
Cancel subscription failed.,billing_issue
Shortcut keys for export.,feature_request
No receipt after purchase.,billing_issue
Recommended setup for search.,general_inquiry
What is the price for Feb?,general_inquiry
profile button does nothing.,bug
Contact sales for enterprise.,general_inquiry
Two-factor auth broken.,account_problem
Need option to login in bulk.,feature_request
Dispute charge of Google.,billing_issue
Upgrade to users but still on old.,billing_issue
Please add export to Feb.,feature_request
Slow performance during new@example.com.,bug
Would love a email button.,feature_request
12345 button does nothing.,bug
No receipt after purchase.,billing_issue
Search returns wrong results for profile.,bug
Account suspended without reason.,account_problem
Data not saving properly after search.,bug
Cannot login: invalid credentials.,account_problem
Verify phone number issue.,account_problem
Account suspended without reason.,account_problem
Demo request.,general_inquiry
Privacy policy question.,general_inquiry
"Forgot password, reset not working.",account_problem
Request: dark mode for 404.,feature_request
Two-factor auth broken.,account_problem
Upgrade to web but still on old.,billing_issue
Status of my ticket $10.,general_inquiry
Merge accounts $10 and $20.,account_problem
Images not loading in save.,bug
Would love a 12345 button.,feature_request
Is $20 available?,general_inquiry
Contact sales for enterprise.,general_inquiry
Demo request.,general_inquiry
Subscription not renewing properly.,billing_issue
Please add export to 404.,feature_request
Status of my ticket old@example.com.,general_inquiry
Can we add support for Jan?,feature_request
Images not loading in CSV.,bug
Status of my ticket $10.,general_inquiry
The app crashes when I try to $10.,bug
Please add export to login.,feature_request
Please add export to dashboard.,feature_request
Two-factor auth broken.,account_problem
How do I 404?,general_inquiry
Error iOS when opening save.,bug
UI is broken on basic. Can you fix?,bug
Add integration with 12345.,feature_request
Merge accounts iOS and Android.,account_problem
Data not saving properly after Android.,bug
Error Jan when opening web.,bug
Delete my account please.,account_problem
Overcharged by 404 on 500.,billing_issue
